"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2024,"Le Havre","Ligue 1","Mathieu Gorgelin","FRA","GK","32",1990,1,1,90,1,2,2,5,3,80,0,0,1,0,0,1,1,0,0,0,"https://fbref.com/en/players/4d3e9033/Mathieu-Gorgelin"
2024,"Lecce","Serie A","Wladimiro Falcone","ITA","GK","28",1995,38,38,3420,38,54,1.42,173,119,71.7,8,14,16,7,18.4,6,5,1,0,16.7,"https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone"
2024,"Lens","Ligue 1","Jean-Louis Leca","FRA","GK","37",1985,1,1,90,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/edbe46dc/Jean-Louis-Leca"
2024,"Lens","Ligue 1","Brice Samba","FRA","GK","29",1994,33,33,2970,33,35,1.06,136,101,78.7,14,8,11,14,42.4,8,6,1,1,14.3,"https://fbref.com/en/players/60d90c55/Brice-Samba"
2024,"Leverkusen","Bundesliga","Lukáš Hrádecký","FIN","GK","33",1989,33,33,2970,33,24,0.73,102,78,76.5,28,5,0,15,45.5,0,0,0,0,NA,"https://fbref.com/en/players/ad3389d5/Lukas-Hradecky"
2024,"Leverkusen","Bundesliga","Matej Kovar","CZE","GK","23",2000,1,1,90,1,0,0,3,3,100,0,1,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/bc67a0e1/Matej-Kovar"
2024,"Lille","Ligue 1","Lucas Chevalier","FRA","GK","21",2001,33,33,2969,33,32,0.97,123,91,76.4,16,10,7,15,45.5,5,3,2,0,40,"https://fbref.com/en/players/b3d76d84/Lucas-Chevalier"
2024,"Lille","Ligue 1","Vito Mannone","ITA","GK","35",1988,2,1,91,1,2,1.98,5,3,60,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/c4173f1a/Vito-Mannone"
2024,"Liverpool","Premier League","Alisson","BRA","GK","30",1992,28,28,2520,28,30,1.07,109,80,73.4,16,8,4,8,28.6,1,1,0,0,0,"https://fbref.com/en/players/7a2e46a8/Alisson"
2024,"Liverpool","Premier League","Caoimhín Kelleher","IRL","GK","24",1998,10,10,900,10,11,1.1,38,28,71.1,8,2,0,2,20,0,0,0,0,NA,"https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher"
2024,"Lorient","Ligue 1","Yvon Mvogo","SUI","GK","29",1994,34,34,3060,34,66,1.94,207,142,72,7,8,19,4,11.8,8,8,0,0,0,"https://fbref.com/en/players/dc29b608/Yvon-Mvogo"
2024,"Luton Town","Premier League","Thomas Kaminski","BEL","GK","30",1992,38,38,3405,37.8,85,2.25,221,140,63.3,6,8,24,2,5.3,4,4,0,0,0,"https://fbref.com/en/players/1caa93a5/Thomas-Kaminski"
2024,"Luton Town","Premier League","James Shea","ENG","GK","32",1991,1,0,15,0.2,0,0,2,2,100,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/ee7c0a5e/James-Shea"
2024,"Lyon","Ligue 1","Anthony Lopes","POR","GK","32",1990,31,31,2790,31,49,1.58,155,106,71,16,4,11,9,29,6,4,1,1,20,"https://fbref.com/en/players/f00de885/Anthony-Lopes"
2024,"Lyon","Ligue 1","Rémy Riou","FRA","GK","35",1987,3,3,270,3,6,2,14,8,57.1,0,1,2,1,33.3,0,0,0,0,NA,"https://fbref.com/en/players/7f41ee30/Remy-Riou"
2024,"Mainz 05","Bundesliga","Daniel Batz","GER","GK","32",1991,4,4,360,4,3,0.75,17,14,82.4,0,2,2,1,25,0,0,0,0,NA,"https://fbref.com/en/players/ec759ba1/Daniel-Batz"
2024,"Mainz 05","Bundesliga","Robin Zentner","GER","GK","28",1994,30,30,2700,30,48,1.6,128,81,64.8,7,12,11,7,23.3,4,3,0,1,0,"https://fbref.com/en/players/5c4bf6ba/Robin-Zentner"
2024,"Mallorca","La Liga","Iván Cuéllar","ESP","GK","39",1984,1,1,90,1,1,1,6,5,83.3,1,0,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/75751c99/Ivan-Cuellar"
2024,"Mallorca","La Liga","Dominik Greif","SVK","GK","26",1997,1,1,90,1,0,0,4,4,100,0,1,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/30061f53/Dominik-Greif"
2024,"Mallorca","La Liga","Predrag Rajković","SRB","GK","27",1995,36,36,3240,36,43,1.19,138,95,71.7,7,15,14,9,25,5,4,1,0,20,"https://fbref.com/en/players/58ad9383/Predrag-Rajkovic"
2024,"Manchester City","Premier League","Ederson","BRA","GK","29",1993,33,33,2785,30.9,27,0.87,82,56,70.7,24,6,3,10,30.3,3,3,0,0,0,"https://fbref.com/en/players/3bb7b8b4/Ederson"
2024,"Manchester City","Premier League","Stefan Ortega","GER","GK","30",1992,9,5,635,7.1,7,0.99,27,20,74.1,4,1,0,3,60,0,0,0,0,NA,"https://fbref.com/en/players/c1242d4e/Stefan-Ortega"
2024,"Manchester Utd","Premier League","André Onana","CMR","GK","27",1996,38,38,3420,38,58,1.53,203,146,74.9,18,6,14,9,23.7,7,7,0,0,0,"https://fbref.com/en/players/e9c0c1b2/Andre-Onana"
2024,"Marseille","Ligue 1","Rubén Blanco","ESP","GK","28",1995,2,1,121,1.3,2,1.49,6,4,66.7,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/967f34d3/Ruben-Blanco"
2024,"Marseille","Ligue 1","Pau López","ESP","GK","28",1994,33,33,2939,32.7,39,1.19,124,86,71,13,11,9,7,21.2,3,3,0,0,0,"https://fbref.com/en/players/20b9f052/Pau-Lopez"
2024,"Metz","Ligue 1","Guillaume Dietsch","FRA","GK","22",2001,1,0,73,0.8,1,1.23,3,2,66.7,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/e11a39aa/Guillaume-Dietsch"
2024,"Metz","Ligue 1","Alexandre Oukidja","ALG","GK","35",1988,34,34,2987,33.2,57,1.72,185,128,72.4,8,5,21,6,17.6,6,6,0,0,0,"https://fbref.com/en/players/ae7d0ecd/Alexandre-Oukidja"
2024,"Milan","Serie A","Mike Maignan","FRA","GK","28",1995,29,29,2609,29,34,1.17,120,86,77.5,19,5,5,10,34.5,7,7,0,0,0,"https://fbref.com/en/players/fcb38f57/Mike-Maignan"
2024,"Milan","Serie A","Antonio Mirante","ITA","GK","40",1983,2,2,177,2,3,1.53,8,5,62.5,0,1,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/30223b33/Antonio-Mirante"
2024,"Milan","Serie A","Lapo Nava","ITA","GK","19",2004,1,0,3,0,1,30,2,1,50,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/c0f732e1/Lapo-Nava"
2024,"Milan","Serie A","Marco Sportiello","ITA","GK","31",1992,7,7,630,7,11,1.57,33,23,69.7,3,3,1,2,28.6,1,1,0,0,0,"https://fbref.com/en/players/ac4003af/Marco-Sportiello"
2024,"Monaco","Ligue 1","Philipp Köhn","SUI","GK","25",1998,22,22,1980,22,32,1.45,97,65,72.2,11,5,6,5,22.7,6,5,1,0,16.7,"https://fbref.com/en/players/ff74841d/Philipp-Kohn"
2024,"Monaco","Ligue 1","Radosław Majecki","POL","GK","23",1999,12,12,1080,12,10,0.83,54,45,81.5,9,2,1,7,58.3,0,0,0,0,NA,"https://fbref.com/en/players/20de219a/Radoslaw-Majecki"
2024,"Montpellier","Ligue 1","Dimitry Bertaud","COD","GK","25",1998,4,4,360,4,11,2.75,34,23,67.6,1,1,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/380a15e2/Dimitry-Bertaud"
2024,"Montpellier","Ligue 1","Benjamin Lecomte","FRA","GK","32",1991,30,30,2700,30,37,1.23,137,102,75.9,9,11,10,10,33.3,5,4,1,0,20,"https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte"
2024,"Monza","Serie A","Michele Di Gregorio","ITA","GK","26",1997,33,33,2872,31.9,35,1.1,159,122,79.9,11,11,11,12,36.4,5,3,2,0,40,"https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio"
2024,"Monza","Serie A","Alessandro Sorrentino","ITA","GK","21",2002,7,5,548,6.1,16,2.63,32,16,62.5,0,1,4,0,0,4,4,0,0,0,"https://fbref.com/en/players/8ef2452a/Alessandro-Sorrentino"
2024,"Nantes","Ligue 1","Rémy Descamps","FRA","GK","27",1996,6,6,540,6,11,1.83,37,26,73,2,2,2,1,16.7,2,1,0,1,0,"https://fbref.com/en/players/477e50ce/Remy-Descamps"
2024,"Nantes","Ligue 1","Alban Lafont","FRA","GK","24",1999,28,28,2496,27.7,43,1.55,118,75,70.3,7,4,17,7,25,8,8,0,0,0,"https://fbref.com/en/players/4e7db402/Alban-Lafont"
2024,"Nantes","Ligue 1","Denis Petrić","SRB","GK","35",1988,1,0,24,0.3,1,3.75,1,0,0,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/dab1b8dc/Denis-Petric"
2024,"Napoli","Serie A","Nikita Contini Baranovsky","ITA","GK","27",1996,1,0,17,0.2,0,0,0,0,NA,0,0,0,1,NA,0,0,0,0,NA,"https://fbref.com/en/players/e95069bb/Nikita-Contini-Baranovsky"
2024,"Napoli","Serie A","Pierluigi Gollini","ITA","GK","28",1995,7,7,630,7,8,1.14,24,16,66.7,3,1,3,1,14.3,0,0,0,0,NA,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
2024,"Napoli","Serie A","Alex Meret","ITA","GK","26",1997,31,31,2773,30.8,40,1.3,104,62,63.5,10,13,8,5,16.1,4,2,2,0,50,"https://fbref.com/en/players/9413b19f/Alex-Meret"
2024,"Newcastle Utd","Premier League","Martin Dúbravka","SVK","GK","34",1989,23,22,1985,22.1,42,1.9,130,87,70.8,9,4,9,5,22.7,5,4,1,0,20,"https://fbref.com/en/players/3a949a25/Martin-Dubravka"
2024,"Newcastle Utd","Premier League","Loris Karius","GER","GK","30",1993,1,1,90,1,4,4,7,4,42.9,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/32e7ce92/Loris-Karius"
2024,"Newcastle Utd","Premier League","Nick Pope","ENG","GK","31",1992,15,15,1345,14.9,16,1.07,58,42,72.4,9,2,4,5,33.3,0,0,0,0,NA,"https://fbref.com/en/players/4b40d9ca/Nick-Pope"
2024,"Nice","Ligue 1","Marcin Bułka","POL","GK","23",1999,34,34,3060,34,29,0.85,105,74,77.1,15,10,9,17,50,8,5,3,0,37.5,"https://fbref.com/en/players/db87a2c4/Marcin-Bulka"
2024,"Nott'ham Forest","Premier League","Matz Sels","BEL","GK","31",1992,16,16,1440,16,27,1.69,61,36,57.4,4,4,8,1,6.3,1,1,0,0,0,"https://fbref.com/en/players/834b5c4c/Matz-Sels"
2024,"Nott'ham Forest","Premier League","Matt Turner","USA","GK","29",1994,17,17,1530,17,28,1.65,80,52,67.5,4,5,8,2,11.8,2,2,0,0,0,"https://fbref.com/en/players/4a51ba65/Matt-Turner"
2024,"Nott'ham Forest","Premier League","Odisseas Vlachodimos","GRE","GK","29",1994,5,5,450,5,12,2.4,22,10,50,1,0,4,1,20,1,1,0,0,0,"https://fbref.com/en/players/03df04ff/Odisseas-Vlachodimos"
2024,"Osasuna","La Liga","Aitor Fernández","ESP","GK","32",1991,7,6,551,6.1,9,1.47,20,11,60,0,2,4,1,16.7,1,1,0,0,0,"https://fbref.com/en/players/a01c3d54/Aitor-Fernandez"
2024,"Osasuna","La Liga","Sergio Herrera","ESP","GK","30",1993,32,32,2869,31.9,47,1.47,132,84,64.4,12,7,13,9,28.1,1,0,1,0,100,"https://fbref.com/en/players/a4995f48/Sergio-Herrera"
2024,"Paris S-G","Ligue 1","Gianluigi Donnarumma","ITA","GK","24",1999,25,25,2169,24.1,20,0.83,110,89,84.5,18,6,1,10,40,4,3,1,0,25,"https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma"
2024,"Paris S-G","Ligue 1","Keylor Navas","CRC","GK","36",1986,4,4,360,4,6,1.5,12,6,58.3,2,2,0,1,25,1,1,0,0,0,"https://fbref.com/en/players/ecada4fc/Keylor-Navas"
2024,"Paris S-G","Ligue 1","Arnau Tenas","ESP","GK","22",2001,6,5,529,5.9,7,1.19,25,18,72,2,2,1,1,20,0,0,0,0,NA,"https://fbref.com/en/players/30670b0e/Arnau-Tenas"
2024,"RB Leipzig","Bundesliga","Janis Blaswich","GER","GK","32",1991,21,21,1890,21,30,1.43,76,46,65.8,10,4,7,5,23.8,4,4,0,0,0,"https://fbref.com/en/players/663e080e/Janis-Blaswich"
2024,"RB Leipzig","Bundesliga","Péter Gulácsi","HUN","GK","33",1990,13,13,1170,13,9,0.69,41,33,78,9,4,0,5,38.5,1,0,0,1,NA,"https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi"
2024,"Rayo Vallecano","La Liga","Cárdenas","ESP","GK","26",1997,1,1,90,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/e1846dde/Cardenas"
2024,"Rayo Vallecano","La Liga","Stole Dimitrievski","MKD","GK","29",1993,37,37,3330,37,47,1.27,150,104,69.3,8,14,15,13,35.1,2,1,1,0,50,"https://fbref.com/en/players/fc70e345/Stole-Dimitrievski"
2024,"Real Madrid","La Liga","Kepa Arrizabalaga","ESP","GK","28",1994,14,13,1198,13.3,9,0.68,38,30,76.3,10,2,1,8,61.5,0,0,0,0,NA,"https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga"
2024,"Real Madrid","La Liga","Thibaut Courtois","BEL","GK","31",1992,4,4,332,3.7,0,0,15,15,100,3,1,0,3,75,0,0,0,0,NA,"https://fbref.com/en/players/1840e36d/Thibaut-Courtois"
2024,"Real Madrid","La Liga","Andriy Lunin","UKR","GK","24",1999,21,21,1890,21,17,0.81,65,48,75.4,16,5,0,10,47.6,1,1,0,0,0,"https://fbref.com/en/players/3061e1ec/Andriy-Lunin"
2024,"Real Sociedad","La Liga","Unai Marrero","ESP","GK","21",2001,2,1,142,1.6,3,1.9,5,2,60,0,0,1,0,0,1,1,0,0,0,"https://fbref.com/en/players/f0fe87dc/Unai-Marrero"
2024,"Real Sociedad","La Liga","Álex Remiro","ESP","GK","28",1995,37,37,3275,36.4,36,0.99,130,94,76.2,16,12,9,15,40.5,6,5,1,0,16.7,"https://fbref.com/en/players/374ee424/Alex-Remiro"
2024,"Reims","Ligue 1","Yehvann Diouf","FRA","GK","23",1999,34,34,3060,34,47,1.38,137,90,70.1,13,8,13,8,23.5,7,6,1,0,14.3,"https://fbref.com/en/players/eedea60b/Yehvann-Diouf"
2024,"Rennes","Ligue 1","Steve Mandanda","FRA","GK","38",1985,34,34,3060,34,46,1.35,147,104,70.7,12,10,12,7,20.6,3,3,0,0,0,"https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda"
2024,"Roma","Serie A","Rui Patrício","POR","GK","35",1988,23,23,2070,23,27,1.17,74,49,66.2,11,5,7,6,26.1,3,2,0,1,0,"https://fbref.com/en/players/79b0d6a0/Rui-Patricio"
2024,"Roma","Serie A","Mile Svilar","SRB","GK","23",1999,15,15,1350,15,19,1.27,77,58,76.6,7,4,4,5,33.3,2,1,1,0,50,"https://fbref.com/en/players/bcf5058a/Mile-Svilar"
2024,"Salernitana","Serie A","Benoît Costil","FRA","GK","36",1987,13,13,1170,13,29,2.23,66,38,60.6,2,3,8,1,7.7,3,3,0,0,0,"https://fbref.com/en/players/2434f24a/Benoit-Costil"
2024,"Salernitana","Serie A","Vincenzo Fiorillo","ITA","GK","33",1990,4,4,360,4,8,2,26,18,69.2,0,2,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/a2565f79/Vincenzo-Fiorillo"
2024,"Salernitana","Serie A","Guillermo Ochoa","MEX","GK","38",1985,21,21,1890,21,44,2.1,115,72,67.8,0,6,15,1,4.8,7,7,0,0,0,"https://fbref.com/en/players/1e9bde92/Guillermo-Ochoa"
2024,"Sassuolo","Serie A","Andrea Consigli","ITA","GK","36",1987,35,35,3150,35,68,1.94,159,93,61.6,6,8,21,3,8.6,10,7,1,2,12.5,"https://fbref.com/en/players/8cabdc1e/Andrea-Consigli"
2024,"Sassuolo","Serie A","Alessio Cragno","ITA","GK","29",1994,3,3,270,3,7,2.33,14,8,57.1,1,1,1,0,0,1,1,0,0,0,"https://fbref.com/en/players/f554e29b/Alessio-Cragno"
2024,"Sevilla","La Liga","Yassine Bounou","MAR","GK","32",1991,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/f6798fc3/Yassine-Bounou"
2024,"Sevilla","La Liga","Marko Dmitrović","SRB","GK","31",1992,13,13,1170,13,25,1.92,68,44,66.2,2,2,9,2,15.4,2,2,0,0,0,"https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic"
2024,"Sevilla","La Liga","Ørjan Nyland","NOR","GK","32",1990,24,24,2160,24,27,1.13,104,78,76.9,8,9,7,6,25,3,3,0,0,0,"https://fbref.com/en/players/bdedffac/Orjan-Nyland"
2024,"Sheffield Utd","Premier League","Wes Foderingham","ENG","GK","32",1991,30,29,2649,29.4,79,2.68,204,130,63.7,3,4,22,1,3.4,6,5,0,1,0,"https://fbref.com/en/players/96cf7b61/Wes-Foderingham"
2024,"Sheffield Utd","Premier League","Ivo Grbić","CRO","GK","27",1996,9,9,771,8.6,25,2.92,59,36,57.6,0,3,6,0,0,1,0,0,1,NA,"https://fbref.com/en/players/3f034750/Ivo-Grbic"
2024,"Strasbourg","Ligue 1","Alaa Bellaarouch","MAR","GK","21",2002,15,15,1350,15,26,1.73,63,37,63.5,4,2,9,2,13.3,4,3,1,0,25,"https://fbref.com/en/players/0595569d/Alaa-Bellaarouch"
2024,"Strasbourg","Ligue 1","Matz Sels","BEL","GK","31",1992,19,19,1710,19,24,1.26,62,40,62.9,6,7,6,3,15.8,1,1,0,0,0,"https://fbref.com/en/players/834b5c4c/Matz-Sels"
2024,"Stuttgart","Bundesliga","Fabian Bredlow","GER","GK","28",1995,4,4,360,4,3,0.75,22,19,86.4,3,1,0,1,25,0,0,0,0,NA,"https://fbref.com/en/players/d28339cb/Fabian-Bredlow"
2024,"Stuttgart","Bundesliga","Alexander Nübel","GER","GK","26",1996,30,30,2700,30,36,1.2,107,74,69.2,20,3,7,11,36.7,3,3,0,0,0,"https://fbref.com/en/players/afb0c500/Alexander-Nubel"
2024,"Torino","Serie A","Luca Gemello","ITA","GK","23",2000,2,2,180,2,5,2.5,9,4,55.6,0,0,2,0,0,1,1,0,0,0,"https://fbref.com/en/players/53e494ec/Luca-Gemello"
2024,"Torino","Serie A","Vanja Milinković-Savić","SRB","GK","26",1997,36,36,3240,36,31,0.86,134,103,81.3,13,14,9,18,50,6,6,0,0,0,"https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic"
2024,"Tottenham","Premier League","Guglielmo Vicario","ITA","GK","26",1996,38,38,3420,38,61,1.61,167,109,67.7,20,6,12,7,18.4,7,7,0,0,0,"https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario"
2024,"Toulouse","Ligue 1","Guillaume Restes","FRA","GK","18",2005,34,34,3060,34,46,1.35,139,93,69.8,11,10,13,6,17.6,4,4,0,0,0,"https://fbref.com/en/players/6b91b999/Guillaume-Restes"
2024,"Udinese","Serie A","Maduka Okoye","NGA","GK","23",1999,21,21,1890,21,25,1.19,89,65,75.3,5,8,8,5,23.8,3,3,0,0,0,"https://fbref.com/en/players/ab5c36dd/Maduka-Okoye"
2024,"Udinese","Serie A","Marco Silvestri","ITA","GK","32",1991,17,17,1530,17,28,1.65,68,40,67.6,1,11,5,4,23.5,6,6,0,0,0,"https://fbref.com/en/players/0d422df7/Marco-Silvestri"
2024,"Union Berlin","Bundesliga","Frederik Rønnow","DEN","GK","30",1992,33,33,2970,33,56,1.7,162,105,68.5,9,6,18,7,21.2,7,5,2,0,28.6,"https://fbref.com/en/players/a70b8345/Frederik-Ronnow"
2024,"Union Berlin","Bundesliga","Alexander Schwolow","GER","GK","31",1992,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/0d55d942/Alexander-Schwolow"
2024,"Valencia","La Liga","Cristian","ESP","GK","25",1998,1,0,57,0.6,1,1.58,3,2,66.7,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/9ad74b4d/Cristian"
2024,"Valencia","La Liga","Jaume Doménech","ESP","GK","32",1990,2,1,79,0.9,3,3.42,12,9,75,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/c9cb972b/Jaume-Domenech"
2024,"Valencia","La Liga","Giorgi Mamardashvili","GEO","GK","22",2000,37,37,3284,36.5,41,1.12,145,103,73.8,13,10,14,13,35.1,6,3,3,0,50,"https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili"
2024,"Villarreal","La Liga","Filip Jørgensen","DEN","GK","21",2002,36,36,3240,36,63,1.75,205,143,72.2,13,10,13,6,16.7,6,6,0,0,0,"https://fbref.com/en/players/0107757e/Filip-Jorgensen"
2024,"Villarreal","La Liga","Pepe Reina","ESP","GK","40",1982,2,2,180,2,2,1,9,7,77.8,1,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/e358587b/Pepe-Reina"
2024,"Werder Bremen","Bundesliga","Jiří Pavlenka","CZE","GK","31",1992,7,7,630,7,17,2.43,38,21,60.5,2,0,5,1,14.3,2,2,0,0,0,"https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka"
2024,"Werder Bremen","Bundesliga","Michael Zetterer","GER","GK","28",1995,27,27,2430,27,37,1.37,128,92,74.2,9,9,9,6,22.2,4,4,0,0,0,"https://fbref.com/en/players/9b688ae1/Michael-Zetterer"
2024,"West Ham","Premier League","Alphonse Areola","FRA","GK","30",1993,31,31,2699,30,53,1.77,188,136,74.5,11,9,11,4,12.9,7,5,2,0,28.6,"https://fbref.com/en/players/2f965a72/Alphonse-Areola"
2024,"West Ham","Premier League","Łukasz Fabiański","POL","GK","38",1985,10,7,721,8,21,2.62,53,33,66,3,1,3,1,14.3,3,3,0,0,0,"https://fbref.com/en/players/9328b835/Lukasz-Fabianski"
2024,"Wolfsburg","Bundesliga","Koen Casteels","BEL","GK","31",1992,25,25,2250,25,39,1.56,115,78,67.8,8,6,11,4,16,3,2,0,1,0,"https://fbref.com/en/players/db401046/Koen-Casteels"
2024,"Wolfsburg","Bundesliga","Pavao Pervan","AUT","GK","35",1987,9,9,810,9,17,1.89,36,20,52.8,2,1,6,2,22.2,0,0,0,0,NA,"https://fbref.com/en/players/c89e8aae/Pavao-Pervan"
2024,"Wolves","Premier League","Daniel Bentley","ENG","GK","30",1993,5,3,383,4.3,7,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,NA,"https://fbref.com/en/players/68db6358/Daniel-Bentley"
2024,"Wolves","Premier League","José Sá","POR","GK","30",1993,35,35,3037,33.7,58,1.72,188,131,73.4,12,7,16,4,11.4,8,8,0,0,0,"https://fbref.com/en/players/903b6e8b/Jose-Sa"
