Player,Squad,Age,Pos,Nation,Season_End_Year,Comp,Born,Mins_Per_90_Playing,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG._per__minus__Expected,X_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att..GK._Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,X.OPA_Sweeper,X.OPA_per_90_Sweeper,AvgDist_Sweeper,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Weekly_Wages_Pounds,Annual_Wages_Pounds,Career_Injuries_Duration,Career_Games_Missed
Sergio Herrera,Osasuna,30.0,GK,ESP,2024,La Liga,1993.0,31.9,47.0,0.0,0.0,6.0,0.0,45.6,0.34,-1.4,-0.04,282.0,658.0,42.9,961.0,100.0,52.0,40.4,222.0,71.2,51.2,468.0,29.0,6.2,43.0,1.35,16.4,47.0,1.47,132.0,84.0,64.4,12.0,7.0,13.0,9.0,28.1,1.0,0.0,1.0,0.0,100.0,15722.0,817567.0,285.0,27.0
Gianluigi Donnarumma,Paris S-G,24.0,GK,ITA,2024,Ligue 1,1999.0,24.1,20.0,3.0,0.0,2.0,0.0,30.3,0.25,10.3,0.43,36.0,94.0,38.3,641.0,113.0,11.4,24.2,131.0,16.0,23.0,294.0,15.0,5.1,23.0,0.95,13.2,20.0,0.83,110.0,89.0,84.5,18.0,6.0,1.0,10.0,40.0,4.0,3.0,1.0,0.0,25.0,210681.0,10955393.0,115.0,16.0
Keylor Navas,Paris S-G,36.0,GK,CRC,2024,Ligue 1,1986.0,4.0,6.0,1.0,0.0,0.0,0.0,4.7,0.31,-1.3,-0.33,4.0,9.0,44.4,80.0,12.0,10.0,23.5,18.0,5.6,22.2,37.0,0.0,0.0,5.0,1.25,16.3,6.0,1.5,12.0,6.0,58.3,2.0,2.0,0.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0,180560.0,9389107.0,563.0,92.0
Arnau Tenas,Paris S-G,22.0,GK,ESP,2024,Ligue 1,2001.0,5.9,7.0,0.0,0.0,2.0,0.0,6.0,0.24,-1.0,-0.17,14.0,46.0,30.4,174.0,19.0,23.0,29.6,37.0,16.2,27.1,71.0,2.0,2.8,5.0,0.85,14.8,7.0,1.19,25.0,18.0,72.0,2.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,,19860.0,1032716.0,43.0,8.0
Janis Blaswich,RB Leipzig,32.0,GK,GER,2024,Bundesliga,1991.0,21.0,30.0,4.0,0.0,7.0,0.0,25.3,0.28,-4.7,-0.22,57.0,155.0,36.8,822.0,89.0,14.7,25.7,134.0,25.4,30.7,251.0,16.0,6.4,37.0,1.76,17.6,30.0,1.43,76.0,46.0,65.8,10.0,4.0,7.0,5.0,23.8,4.0,4.0,0.0,0.0,0.0,24825.0,1290895.0,689.0,95.0
Péter Gulácsi,RB Leipzig,33.0,GK,HUN,2024,Bundesliga,1990.0,13.0,9.0,0.0,1.0,1.0,1.0,10.3,0.25,2.3,0.17,22.0,79.0,27.8,373.0,58.0,12.9,25.1,97.0,32.0,32.2,175.0,7.0,4.0,14.0,1.08,14.5,9.0,0.69,41.0,33.0,78.0,9.0,4.0,0.0,5.0,38.5,1.0,0.0,0.0,1.0,,92680.0,4819340.0,804.0,126.0
Cárdenas,Rayo Vallecano,26.0,GK,ESP,2024,La Liga,1997.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.93,-0.1,-0.07,2.0,15.0,13.3,36.0,5.0,36.1,36.3,4.0,50.0,53.5,5.0,0.0,0.0,2.0,2.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,7447.0,387268.0,,
Stole Dimitrievski,Rayo Vallecano,29.0,GK,MKD,2024,La Liga,1993.0,37.0,47.0,1.0,1.0,5.0,2.0,46.9,0.31,1.9,0.05,168.0,598.0,28.1,928.0,171.0,47.1,39.4,267.0,60.3,48.4,529.0,23.0,4.3,38.0,1.03,14.6,47.0,1.27,150.0,104.0,69.3,8.0,14.0,15.0,13.0,35.1,2.0,1.0,1.0,0.0,50.0,10923.0,567994.0,,
Kepa Arrizabalaga,Real Madrid,28.0,GK,ESP,2024,La Liga,1994.0,13.3,9.0,0.0,0.0,0.0,1.0,10.0,0.28,2.0,0.15,34.0,92.0,37.0,386.0,57.0,19.2,27.0,70.0,25.7,30.6,157.0,6.0,3.8,10.0,0.75,14.7,9.0,0.68,38.0,30.0,76.3,10.0,2.0,1.0,8.0,61.5,0.0,0.0,0.0,0.0,,148949.0,7745368.0,200.0,41.0
Thibaut Courtois,Real Madrid,31.0,GK,BEL,2024,La Liga,1992.0,3.7,0.0,0.0,0.0,0.0,0.0,3.1,0.22,3.1,0.85,10.0,19.0,52.6,105.0,25.0,16.2,26.7,18.0,11.1,27.8,47.0,2.0,4.3,5.0,1.36,15.3,0.0,0.0,15.0,15.0,100.0,3.0,1.0,0.0,3.0,75.0,0.0,0.0,0.0,0.0,,248249.0,12908947.0,295.0,61.0
Andriy Lunin,Real Madrid,24.0,GK,UKR,2024,La Liga,1999.0,21.0,17.0,1.0,0.0,2.0,0.0,21.2,0.31,4.2,0.2,35.0,99.0,35.4,548.0,95.0,13.7,25.2,116.0,20.7,28.7,283.0,27.0,9.5,23.0,1.1,12.2,17.0,0.81,65.0,48.0,75.4,16.0,5.0,0.0,10.0,47.6,1.0,1.0,0.0,0.0,0.0,46505.0,2418276.0,28.0,4.0
Unai Marrero,Real Sociedad,21.0,GK,ESP,2024,La Liga,2001.0,1.6,3.0,1.0,0.0,0.0,0.0,2.9,0.37,-0.1,-0.09,10.0,25.0,40.0,37.0,5.0,45.9,37.0,8.0,100.0,63.4,27.0,1.0,3.7,4.0,2.54,20.1,3.0,1.9,5.0,2.0,60.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2979.0,154907.0,,
Álex Remiro,Real Sociedad,28.0,GK,ESP,2024,La Liga,1995.0,36.4,36.0,5.0,0.0,5.0,1.0,37.9,0.26,2.9,0.08,182.0,440.0,41.4,1090.0,111.0,30.6,32.0,163.0,65.6,50.9,383.0,18.0,4.7,54.0,1.48,16.9,36.0,0.99,130.0,94.0,76.2,16.0,12.0,9.0,15.0,40.5,6.0,5.0,1.0,0.0,16.7,46340.0,2409670.0,37.0,7.0
Yehvann Diouf,Reims,23.0,GK,FRA,2024,Ligue 1,1999.0,34.0,47.0,6.0,1.0,4.0,1.0,42.7,0.27,-3.3,-0.1,124.0,353.0,35.1,1135.0,179.0,25.2,30.1,157.0,42.7,36.9,522.0,38.0,7.3,46.0,1.35,14.2,47.0,1.38,137.0,90.0,70.1,13.0,8.0,13.0,8.0,23.5,7.0,6.0,1.0,0.0,14.3,9930.0,516358.0,,
Steve Mandanda,Rennes,38.0,GK,FRA,2024,Ligue 1,1985.0,34.0,46.0,3.0,0.0,5.0,3.0,38.2,0.25,-4.8,-0.14,134.0,416.0,32.2,1017.0,149.0,29.9,31.5,192.0,58.3,43.1,451.0,36.0,8.0,37.0,1.09,15.1,46.0,1.35,147.0,104.0,70.7,12.0,10.0,12.0,7.0,20.6,3.0,3.0,0.0,0.0,0.0,37734.0,1962160.0,421.0,62.0
Rui Patrício,Roma,35.0,GK,POR,2024,Serie A,1988.0,23.0,27.0,2.0,0.0,2.0,2.0,23.4,0.29,-1.6,-0.07,90.0,211.0,42.7,492.0,86.0,31.5,31.0,137.0,40.9,34.9,309.0,16.0,5.2,8.0,0.35,11.7,27.0,1.17,74.0,49.0,66.2,11.0,5.0,7.0,6.0,26.1,3.0,2.0,0.0,1.0,0.0,63717.0,3313296.0,78.0,26.0
Mile Svilar,Roma,23.0,GK,SRB,2024,Serie A,1999.0,15.0,19.0,1.0,0.0,3.0,1.0,20.2,0.24,2.2,0.14,44.0,116.0,37.9,516.0,77.0,15.9,25.3,89.0,38.2,36.2,208.0,16.0,7.7,7.0,0.47,12.0,19.0,1.27,77.0,58.0,76.6,7.0,4.0,4.0,5.0,33.3,2.0,1.0,1.0,0.0,50.0,21184.0,1101563.0,62.0,14.0
Benoît Costil,Salernitana,36.0,GK,FRA,2024,Serie A,1987.0,13.0,29.0,3.0,0.0,2.0,1.0,23.6,0.32,-4.4,-0.34,71.0,228.0,31.1,323.0,45.0,48.0,37.0,104.0,70.2,51.1,212.0,2.0,0.9,19.0,1.46,18.2,29.0,2.23,66.0,38.0,60.6,2.0,3.0,8.0,1.0,7.7,3.0,3.0,0.0,0.0,0.0,13736.0,714295.0,122.0,52.0
Vincenzo Fiorillo,Salernitana,33.0,GK,ITA,2024,Serie A,1990.0,4.0,8.0,0.0,0.0,4.0,0.0,7.3,0.28,-0.7,-0.18,27.0,96.0,28.1,72.0,9.0,68.1,44.9,54.0,87.0,56.6,77.0,4.0,5.2,1.0,0.25,7.6,8.0,2.0,26.0,18.0,69.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,8275.0,430298.0,123.0,17.0
Guillermo Ochoa,Salernitana,38.0,GK,MEX,2024,Serie A,1985.0,21.0,44.0,7.0,0.0,3.0,1.0,37.2,0.27,-5.8,-0.28,85.0,323.0,26.3,479.0,73.0,46.3,37.5,171.0,59.1,44.4,342.0,9.0,2.6,11.0,0.52,13.6,44.0,2.1,115.0,72.0,67.8,0.0,6.0,15.0,1.0,4.8,7.0,7.0,0.0,0.0,0.0,24494.0,1273683.0,47.0,9.0
Andrea Consigli,Sassuolo,36.0,GK,ITA,2024,Serie A,1987.0,35.0,68.0,7.0,1.0,7.0,3.0,51.7,0.28,-13.3,-0.38,172.0,540.0,31.9,982.0,143.0,42.3,36.9,252.0,49.6,41.2,545.0,23.0,4.2,22.0,0.63,11.8,68.0,1.94,159.0,93.0,61.6,6.0,8.0,21.0,3.0,8.6,10.0,7.0,1.0,2.0,12.5,30617.0,1592103.0,79.0,17.0
Alessio Cragno,Sassuolo,29.0,GK,ITA,2024,Serie A,1994.0,3.0,7.0,1.0,1.0,1.0,1.0,5.1,0.3,-0.9,-0.28,17.0,45.0,37.8,78.0,11.0,50.0,37.8,22.0,27.3,30.5,37.0,3.0,8.1,8.0,2.67,18.6,7.0,2.33,14.0,8.0,57.1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,30617.0,1592103.0,864.0,168.0
Marko Dmitrović,Sevilla,31.0,GK,SRB,2024,La Liga,1992.0,13.0,25.0,2.0,0.0,3.0,1.0,22.6,0.3,-1.4,-0.11,52.0,148.0,35.1,314.0,70.0,32.5,32.7,79.0,58.2,45.9,152.0,11.0,7.2,15.0,1.15,15.4,25.0,1.92,68.0,44.0,66.2,2.0,2.0,9.0,2.0,15.4,2.0,2.0,0.0,0.0,0.0,20853.0,1084352.0,206.0,42.0
Ørjan Nyland,Sevilla,32.0,GK,NOR,2024,La Liga,1990.0,24.0,27.0,3.0,1.0,1.0,1.0,29.8,0.26,3.8,0.16,166.0,449.0,37.0,583.0,108.0,49.9,39.4,201.0,78.6,56.4,359.0,20.0,5.6,17.0,0.71,13.5,27.0,1.13,104.0,78.0,76.9,8.0,9.0,7.0,6.0,25.0,3.0,3.0,0.0,0.0,0.0,9930.0,516358.0,606.0,102.0
Wes Foderingham,Sheffield Utd,32.0,GK,ENG,2024,Premier League,1991.0,29.4,79.0,5.0,0.0,8.0,5.0,70.5,0.33,-3.5,-0.12,206.0,619.0,33.3,782.0,101.0,54.6,40.2,262.0,73.3,52.3,468.0,28.0,6.0,42.0,1.43,14.7,79.0,2.68,204.0,130.0,63.7,3.0,4.0,22.0,1.0,3.4,6.0,5.0,0.0,1.0,0.0,12500.0,650000.0,17.0,3.0
Ivo Grbić,Sheffield Utd,27.0,GK,CRO,2024,Premier League,1996.0,8.6,25.0,0.0,0.0,4.0,2.0,14.7,0.25,-8.3,-0.97,65.0,199.0,32.7,207.0,25.0,57.5,41.2,89.0,89.9,59.4,193.0,11.0,5.7,14.0,1.63,14.4,25.0,2.92,59.0,36.0,57.6,0.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,,14233.0,740113.0,,
Alaa Bellaarouch,Strasbourg,21.0,GK,MAR,2024,Ligue 1,2002.0,15.0,26.0,3.0,0.0,1.0,1.0,19.8,0.25,-5.2,-0.35,56.0,183.0,30.6,440.0,57.0,36.4,34.4,61.0,37.7,36.0,203.0,19.0,9.4,21.0,1.4,13.4,26.0,1.73,63.0,37.0,63.5,4.0,2.0,9.0,2.0,13.3,4.0,3.0,1.0,0.0,25.0,2648.0,137695.0,146.0,26.0
Matz Sels,Strasbourg,31.0,GK,BEL,2024,Ligue 1,1992.0,19.0,24.0,1.0,0.0,2.0,2.0,20.0,0.31,-2.0,-0.11,88.0,226.0,38.9,505.0,68.0,37.4,34.5,113.0,32.7,33.7,257.0,6.0,2.3,19.0,1.0,13.9,24.0,1.26,62.0,40.0,62.9,6.0,7.0,6.0,3.0,15.8,1.0,1.0,0.0,0.0,0.0,17874.0,929444.0,378.0,56.0
Fabian Bredlow,Stuttgart,28.0,GK,GER,2024,Bundesliga,1995.0,4.0,3.0,0.0,0.0,1.0,0.0,5.0,0.23,2.0,0.49,22.0,61.0,36.1,168.0,15.0,31.5,31.0,11.0,72.7,51.7,55.0,1.0,1.8,5.0,1.25,16.6,3.0,0.75,22.0,19.0,86.4,3.0,1.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,,18701.0,972474.0,78.0,8.0
Alexander Nübel,Stuttgart,26.0,GK,GER,2024,Bundesliga,1996.0,30.0,36.0,3.0,0.0,5.0,3.0,30.8,0.27,-2.2,-0.07,126.0,291.0,43.3,1103.0,132.0,23.1,28.7,112.0,32.1,32.7,341.0,30.0,8.8,57.0,1.9,17.3,36.0,1.2,107.0,74.0,69.2,20.0,3.0,7.0,11.0,36.7,3.0,3.0,0.0,0.0,0.0,24825.0,1290895.0,51.0,11.0
Luca Gemello,Torino,23.0,GK,ITA,2024,Serie A,2000.0,2.0,5.0,1.0,0.0,0.0,0.0,3.6,0.31,-1.4,-0.72,10.0,29.0,34.5,104.0,8.0,26.9,31.1,12.0,8.3,19.7,24.0,3.0,12.5,3.0,1.5,12.0,5.0,2.5,9.0,4.0,55.6,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2813.0,146301.0,,
Vanja Milinković-Savić,Torino,26.0,GK,SRB,2024,Serie A,1997.0,36.0,31.0,6.0,0.0,4.0,0.0,33.8,0.21,2.8,0.08,264.0,783.0,33.7,1288.0,171.0,44.8,38.3,239.0,86.2,66.6,407.0,38.0,9.3,37.0,1.03,13.6,31.0,0.86,134.0,103.0,81.3,13.0,14.0,9.0,18.0,50.0,6.0,6.0,0.0,0.0,0.0,21515.0,1118775.0,63.0,17.0
Guglielmo Vicario,Tottenham,26.0,GK,ITA,2024,Premier League,1996.0,38.0,61.0,7.0,1.0,8.0,3.0,60.0,0.32,2.0,0.05,53.0,225.0,23.6,1363.0,193.0,14.3,24.0,201.0,14.9,22.2,511.0,33.0,6.5,81.0,2.13,17.1,61.0,1.61,167.0,109.0,67.7,20.0,6.0,12.0,7.0,18.4,7.0,7.0,0.0,0.0,0.0,75000.0,3900000.0,192.0,22.0
Guillaume Restes,Toulouse,18.0,GK,FRA,2024,Ligue 1,2005.0,34.0,46.0,4.0,2.0,6.0,0.0,45.3,0.3,-0.7,-0.02,92.0,285.0,32.3,702.0,93.0,27.4,29.3,193.0,48.2,38.9,490.0,7.0,1.4,16.0,0.47,10.7,46.0,1.35,139.0,93.0,69.8,11.0,10.0,13.0,6.0,17.6,4.0,4.0,0.0,0.0,0.0,10592.0,550782.0,,
Maduka Okoye,Udinese,23.0,GK,NGA,2024,Serie A,1999.0,21.0,25.0,3.0,2.0,3.0,1.0,23.9,0.24,-0.1,0.0,99.0,263.0,37.6,286.0,45.0,55.9,41.7,161.0,64.0,49.0,365.0,7.0,1.9,2.0,0.1,8.7,25.0,1.19,89.0,65.0,75.3,5.0,8.0,8.0,5.0,23.8,3.0,3.0,0.0,0.0,0.0,10592.0,550782.0,244.0,47.0
Marco Silvestri,Udinese,32.0,GK,ITA,2024,Serie A,1991.0,17.0,28.0,6.0,0.0,2.0,0.0,25.7,0.29,-2.3,-0.14,57.0,168.0,33.9,345.0,68.0,33.6,32.3,105.0,49.5,42.1,282.0,5.0,1.8,7.0,0.41,13.1,28.0,1.65,68.0,40.0,67.6,1.0,11.0,5.0,4.0,23.5,6.0,6.0,0.0,0.0,0.0,30617.0,1592103.0,22.0,3.0
Frederik Rønnow,Union Berlin,30.0,GK,DEN,2024,Bundesliga,1992.0,33.0,56.0,5.0,2.0,7.0,1.0,51.7,0.28,-3.3,-0.1,198.0,525.0,37.7,1096.0,174.0,35.2,33.6,218.0,63.8,47.4,539.0,54.0,10.0,37.0,1.12,12.9,56.0,1.7,162.0,105.0,68.5,9.0,6.0,18.0,7.0,21.2,7.0,5.0,2.0,0.0,28.6,19860.0,1032716.0,637.0,93.0
Alexander Schwolow,Union Berlin,31.0,GK,GER,2024,Bundesliga,1992.0,1.0,2.0,0.0,0.0,0.0,0.0,1.2,0.2,-0.8,-0.81,4.0,10.0,40.0,28.0,4.0,32.1,34.1,8.0,12.5,28.4,13.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,6.0,4.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,14895.0,774537.0,251.0,44.0
Cristian,Valencia,25.0,GK,ESP,2024,La Liga,1998.0,0.6,1.0,0.0,0.0,1.0,0.0,0.5,0.17,-0.5,-0.75,2.0,5.0,40.0,15.0,4.0,26.7,29.1,3.0,33.3,32.7,12.0,0.0,0.0,0.0,0.0,8.3,1.0,1.58,3.0,2.0,66.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,23997.0,1247865.0,,
Jaume Doménech,Valencia,32.0,GK,ESP,2024,La Liga,1990.0,0.9,3.0,0.0,1.0,2.0,0.0,1.7,0.14,-1.3,-1.52,4.0,20.0,20.0,24.0,2.0,62.5,40.5,7.0,71.4,51.4,19.0,1.0,5.3,1.0,1.14,11.4,3.0,3.42,12.0,9.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,34920.0,1815859.0,238.0,34.0
Giorgi Mamardashvili,Valencia,22.0,GK,GEO,2024,La Liga,2000.0,36.5,41.0,3.0,0.0,4.0,2.0,49.2,0.31,10.2,0.28,185.0,671.0,27.6,864.0,142.0,57.3,41.4,245.0,71.8,53.4,530.0,45.0,8.5,31.0,0.85,12.3,41.0,1.12,145.0,103.0,73.8,13.0,10.0,14.0,13.0,35.1,6.0,3.0,3.0,0.0,50.0,24825.0,1290895.0,,
Filip Jørgensen,Villarreal,21.0,GK,DEN,2024,La Liga,2002.0,36.0,63.0,6.0,1.0,9.0,1.0,59.8,0.27,-2.2,-0.06,144.0,360.0,40.0,1055.0,178.0,24.5,29.7,245.0,41.6,37.8,650.0,34.0,5.2,36.0,1.0,13.4,63.0,1.75,205.0,143.0,72.2,13.0,10.0,13.0,6.0,16.7,6.0,6.0,0.0,0.0,0.0,9930.0,516358.0,,
Pepe Reina,Villarreal,40.0,GK,ESP,2024,La Liga,1982.0,2.0,2.0,0.0,0.0,0.0,0.0,1.9,0.21,-0.1,-0.05,6.0,18.0,33.3,58.0,12.0,24.1,30.2,11.0,36.4,38.8,38.0,1.0,2.6,0.0,0.0,5.3,2.0,1.0,9.0,7.0,77.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24825.0,1290895.0,286.0,64.0
Jiří Pavlenka,Werder Bremen,31.0,GK,CZE,2024,Bundesliga,1992.0,7.0,17.0,2.0,0.0,1.0,0.0,13.1,0.3,-3.9,-0.56,31.0,85.0,36.5,177.0,37.0,37.9,34.2,69.0,26.1,32.5,109.0,7.0,6.4,9.0,1.29,14.4,17.0,2.43,38.0,21.0,60.5,2.0,0.0,5.0,1.0,14.3,2.0,2.0,0.0,0.0,0.0,41375.0,2151491.0,,
Michael Zetterer,Werder Bremen,28.0,GK,GER,2024,Bundesliga,1995.0,27.0,37.0,4.0,0.0,4.0,1.0,41.0,0.3,5.0,0.18,145.0,330.0,43.9,977.0,161.0,28.5,32.7,144.0,36.1,38.1,407.0,34.0,8.4,30.0,1.11,14.6,37.0,1.37,128.0,92.0,74.2,9.0,9.0,9.0,6.0,22.2,4.0,4.0,0.0,0.0,0.0,2979.0,154907.0,784.0,87.0
Alphonse Areola,West Ham,30.0,GK,FRA,2024,Premier League,1993.0,30.0,53.0,5.0,0.0,3.0,3.0,52.1,0.24,2.1,0.07,160.0,430.0,37.2,643.0,144.0,43.9,36.8,219.0,67.6,47.3,468.0,27.0,5.8,7.0,0.23,8.9,53.0,1.77,188.0,136.0,74.5,11.0,9.0,11.0,4.0,12.9,7.0,5.0,2.0,0.0,28.6,120000.0,6240000.0,49.0,7.0
Łukasz Fabiański,West Ham,38.0,GK,POL,2024,Premier League,1985.0,8.0,21.0,3.0,0.0,3.0,1.0,19.8,0.33,-0.2,-0.02,50.0,123.0,40.7,182.0,44.0,50.0,39.0,56.0,57.1,45.1,114.0,8.0,7.0,1.0,0.12,7.6,21.0,2.62,53.0,33.0,66.0,3.0,1.0,3.0,1.0,14.3,3.0,3.0,0.0,0.0,0.0,65000.0,3380000.0,,
Koen Casteels,Wolfsburg,31.0,GK,BEL,2024,Bundesliga,1992.0,25.0,39.0,2.0,0.0,2.0,2.0,36.4,0.3,-0.6,-0.03,161.0,390.0,41.3,786.0,118.0,36.3,35.0,161.0,65.2,48.4,335.0,25.0,7.5,38.0,1.52,15.7,39.0,1.56,115.0,78.0,67.8,8.0,6.0,11.0,4.0,16.0,3.0,2.0,0.0,1.0,0.0,66200.0,3442386.0,497.0,86.0
Pavao Pervan,Wolfsburg,35.0,GK,AUT,2024,Bundesliga,1987.0,9.0,17.0,0.0,2.0,2.0,1.0,11.5,0.32,-4.5,-0.51,40.0,104.0,38.5,263.0,39.0,33.5,32.8,37.0,43.2,39.6,127.0,1.0,0.8,3.0,0.33,12.1,17.0,1.89,36.0,20.0,52.8,2.0,1.0,6.0,2.0,22.2,0.0,0.0,0.0,0.0,,19860.0,1032716.0,125.0,25.0
Daniel Bentley,Wolves,30.0,GK,ENG,2024,Premier League,1993.0,4.3,7.0,0.0,0.0,0.0,0.0,5.8,0.39,-1.2,-0.28,13.0,56.0,23.2,111.0,9.0,36.0,33.8,33.0,48.5,36.9,50.0,0.0,0.0,3.0,0.7,13.3,7.0,1.64,15.0,8.0,53.3,1.0,0.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,,10000.0,520000.0,4.0,1.0
José Sá,Wolves,30.0,GK,POR,2024,Premier League,1993.0,33.7,58.0,8.0,1.0,7.0,1.0,65.9,0.31,8.9,0.26,87.0,424.0,20.5,841.0,190.0,33.3,33.0,253.0,56.9,42.6,522.0,45.0,8.6,28.0,0.83,12.6,58.0,1.72,188.0,131.0,73.4,12.0,7.0,16.0,4.0,11.4,8.0,8.0,0.0,0.0,0.0,40000.0,2080000.0,,
